relative_path,source_revision,content_sha256,classification,subsystem,source_review_status,reviewed_symbols_or_ranges,test_evidence,runtime_validation_status,issue_references,remaining_review
.dockerignore,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,322c7d40037b53a98eeb83cf48df6fee4df2ff1d48558034399e4253a68e7af8,build/CI/configuration,build and tooling,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
.gitattributes,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,71c1c7b5a4943a4f7aec8af209869d9576c13e5c572e48e513e4bbf38290f64f,build/CI/configuration,build and tooling,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
.github/workflows/ci.yml,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,15178f5242cffe8e7a096de12dbf1527c4bb1363c2e52a14fb1ea9c390abeaa7,build/CI/configuration,build and tooling,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
.github/workflows/release.yml,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,505b4250f78be17f1fbb433d052d5bef9bd2fffbc63603d8589029b4b42af7d6,build/CI/configuration,build and tooling,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
.gitignore,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,44400583b10551f95fb78ffb918ba090343600d1cbf03a80faeebcaa45f20652,build/CI/configuration,build and tooling,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
.vscode/extensions.json,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,fcaabcc9af285f129e11c3db4677c9413bc1545c12327997e4b931de14f7d9d3,data/configuration,extensions,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
.vscode/launch.json,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,9e986e720e070dfcaa67c539bd893fb6c8ec8d5810bd90864e17bc0ea8b1fc08,data/configuration,launch,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
Dockerfile,3ea444ae528af7343818142c867a8f955f9252aa,4f53143f12d36591529e2f8bdcdea6cafb60d1a026f226e784702775a222faf4,reference/documentation,configuration initialization,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. R1 no-replace publication and lifecycle; R2 container first-use guidance. Existing accepted read/update behavior preserved.,reviews/OBX-004-CONFIG-READ-SAFETY-REVIEW-FOLLOWUP-2026-09-19.md; target/safety/full; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,SOURCE_AND_SYNTAX_ONLY,OBX-004 R1/P1; R2/P2,"Focused recheck; no general concurrency, job-loading, Docker runtime or repository-wide certification; job-loading and broader storage/concurrency/transaction/ACL residuals remain open"
LICENSE,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,07fa9d18f12dc119b85d838c2cd94b40716c6182f4a98c20597cee9dc15e9f3a,reference/documentation,documentation,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as reference/documentation
README.md,3ea444ae528af7343818142c867a8f955f9252aa,cf4942c5769d068ef41b876f0fbfd8f59170fdf241a28728d906c66760640d4c,reference/documentation,configuration initialization,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. R1 no-replace publication and lifecycle; R2 container first-use guidance. Existing accepted read/update behavior preserved.,reviews/OBX-004-CONFIG-READ-SAFETY-REVIEW-FOLLOWUP-2026-09-19.md; target/safety/full; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,SOURCE_AND_SYNTAX_ONLY,OBX-004 R1/P1; R2/P2,"Focused recheck; no general concurrency, job-loading, Docker runtime or repository-wide certification; job-loading and broader storage/concurrency/transaction/ACL residuals remain open"
RELEASE_CHECKLIST.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,73e6f073a3f257dd62ea46c5c4b3d56bc1510f0a174af8df38e43795f960f16c,reference/documentation,documentation,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as reference/documentation
adopt.go,3ea444ae528af7343818142c867a8f955f9252aa,c993c006d12f4d9859e04af12f8713c535babf0e9d0917dba322b67d4792422e,first-party production,adopt,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
adopt_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,2d052655aa4b8c1fd3be57c2d74ad77a0870bc22534617e44a281220b050b7fc,first-party test,tests: adopt,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""skip"": 3}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
apiguard_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,95cb88f23d0e2e992910127de85d5e14df24f4160e1bd31f5573a13774963202,first-party test,tests: apiguard,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""pass"": 8}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
appbackup.go,58711f5d13132246fe048cd8f749cf16d67c1fc1,b1b6cf63645276cd4068dbd20cf85e7d6bb283b445b4871d198d7b3e96b85d3e,first-party production,appbackup,OWNER_ACCEPTED_BOUNDED_JOB_LOADING_SCOPE,"verifyAppBackup jobs member validation; RestoreAppBackup failed reopen handling; prior bounded coverage remains historical; R1 canonical regular-member policy, duplicate tar/manifest refusal, exporter leaf check",reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md; reviews/OBX-004-JOB-LOAD-SAFETY-IMPLEMENTATION-2026-09-19.md; reviews/OBX-004-JOB-LOAD-SAFETY-REVIEW-FOLLOWUP-2026-09-19.md; reviews/OBX-004-JOB-LOAD-SAFETY-FOCUSED-RECHECK-2026-09-19.md,AUTHOR_TESTED_BOUNDED_SCOPE,OB-010;OB-011;OBX-004;OB-003;OBX-004,"Owner accepted bounded job-loading slice and restore-member R1 closure; earlier outside-scope residuals remain. Not whole-file certification; storage identity, cross-file transactions, concurrent writers and runtime limitations remain open."
appbackup_test.go,3ea444ae528af7343818142c867a8f955f9252aa,36f29bf5dd536923ec16dd9ad0d4d7b06d6b1ed4b0ea070d1b2620f7f804a3b7,first-party test,tests: appbackup,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
atomic_replace_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,b46875d17a29c716ec5308f236feae47471d1755c5ce124dc3d0728cee1f0bf5,first-party test,tests: atomic_replace,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""pass"": 8}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
auth_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,e4f65a66ebeb987500e21497c1450ce55498d98d700e1ce1618c5d83eaa63e80,first-party test,tests: auth,SOURCE_REVIEWED,entire file: TestIsLocalhostAddr/TestAuthMiddleware/hitAuth,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""pass"": 2}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,OBX-004,Source read complete for this file; platform and untested failure paths remain; not whole-product assurance
bagit.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,d61c043b210f90bd5229bc170c58c3639b945f978431e49cbf7c5f47f5aa6e00,first-party production,bagit,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
